idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.03,0.02,618.8311195445921,18.453765490943756,1,0.0,0.07118597041999504,0.15005450438490514,1775022954.0955093,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0000.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0000_mask.png
1,0.0603125,0.02,619.3639575971731,30.324204946996467,1,0.0,0.05680979181831054,0.057978126094446567,1775022963.8817587,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0001.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0001_mask.png
2,0.090625,0.02,619.331198536139,43.6651418115279,1,0.0,0.08589761566616382,0.06865113968405324,1775022973.6631992,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0002.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0002_mask.png
3,0.1209375,0.02,619.1401617250674,57.3468667255075,1,0.0,0.03692500425650517,0.12687257296769647,1775022984.4075859,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0003.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0003_mask.png
4,0.15125,0.02,619.4635879218472,70.15798764342453,1,0.0,0.05492458944968025,0.06250256314170759,1775022994.1292815,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0004.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0004_mask.png
5,0.1815625,0.02,619.2266545784225,83.76790571169538,1,0.0,0.10196363096258745,0.06024361649243122,1775023003.8437026,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0005.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0005_mask.png
6,0.211875,0.02,619.0763087843833,97.2927927927928,1,0.0,0.2727605394905282,0.09564440325164841,1775023013.7002873,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0006.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0006_mask.png
7,0.2421875,0.02,619.3307155322863,110.14298245614034,1,0.0,0.23097643144920027,0.08543728632349469,1775023023.5135732,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0007.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0007_mask.png
8,0.27249999999999996,0.02,619.0134048257372,124.13470115967885,1,0.0,0.05914979629210745,0.03899517385573068,1775023034.8786292,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0008.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0008_mask.png
9,0.30281250000000004,0.02,618.9721973094171,137.44125560538117,1,0.0,0.07905406085391656,0.06254279117848,1775023044.6282167,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0009.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0009_mask.png
10,0.333125,0.02,619.280487804878,150.43728222996515,1,0.0,0.07940650814864467,0.08964087231952085,1775023054.7534914,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0010.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0010_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0010_mask.png
11,0.36343749999999997,0.02,619.1024518388791,164.4650959860384,1,0.0,0.06266068207896881,0.08398244297703428,1775023064.7866988,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0011.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0011_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0011_mask.png
12,0.39375000000000004,0.02,618.0620860927153,177.80645161290323,1,0.0,0.08487786074668568,0.05689816254742902,1775023074.925612,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0012.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0012_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0012_mask.png
13,0.4240625,0.02,618.7949389179755,190.51996527777777,1,0.0,0.3534650753435996,0.1413686455357438,1775023084.7572672,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0013.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0013_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0013_mask.png
14,0.454375,0.02,618.5593509820666,204.57264231096008,1,0.0,0.3055689844266744,0.06116062943023224,1775023094.5717819,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0014.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0014_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0014_mask.png
15,0.48468749999999994,0.02,617.9785123966942,217.83416666666668,1,0.0,0.05978088580099639,0.04409978039504568,1775023104.5055208,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0015.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0015_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0015_mask.png
16,0.515,0.02,617.8276165347405,231.3702726473175,1,0.0,0.38708460419990454,0.1322874090994903,1775023114.357397,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0016.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0016_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0016_mask.png
17,0.5453125,0.02,618.0951585976628,244.8736310025274,1,0.0,0.07308526780513884,0.038821511367315126,1775023124.1427164,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0017.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0017_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0017_mask.png
18,0.575625,0.02,617.9958368026645,258.0207468879668,1,0.0,0.03685186929621342,0.032998586156461326,1775023135.041273,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0018.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0018_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0018_mask.png
19,0.6059375,0.02,617.672131147541,271.7781599312124,1,0.0,0.06017658151168943,0.3134113522780644,1775023144.762877,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0019.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0019_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0019_mask.png
20,0.63625,0.02,617.8113050706567,284.93260320134794,1,0.0,0.08537470883835228,0.059480152404601964,1775023154.4837832,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0020.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0020_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0020_mask.png
21,0.6665625000000001,0.02,617.6821247892074,298.2284991568297,1,0.0,0.03686550792320279,0.052902981849631533,1775023164.3324246,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0021.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0021_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0021_mask.png
22,0.696875,0.02,617.2263660017346,311.97370727432076,1,0.0,0.07031696737962957,0.12998514261532182,1775023174.2699883,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0022.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0022_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0022_mask.png
23,0.7271875,0.02,617.375,325.33522727272725,1,0.0,0.008277378035227299,0.00884472841408937,1775023184.0702589,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0023.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0023_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0023_mask.png
24,0.7575000000000001,0.02,617.3815461346634,338.3200332502078,1,0.0,0.07888616535802678,0.06573251346224154,1775023193.8978312,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0024.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0024_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0024_mask.png
25,0.7878125,0.02,617.2642796248934,352.4158163265306,1,0.0,0.050691120870543185,0.06512616663548808,1775023203.7457411,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0025.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0025_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0025_mask.png
26,0.818125,0.02,617.4762711864407,365.3226079593565,1,0.0,0.06328321390455115,0.02106288891623248,1775023213.3691084,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0026.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0026_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0026_mask.png
27,0.8484375,0.02,617.3392382639504,379.3817537643933,1,0.0,0.06578600351931493,0.01693219801510895,1775023222.8766031,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0027.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0027_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0027_mask.png
28,0.87875,0.02,617.2570422535211,392.70840630472856,1,0.0,0.06453022196033621,0.02231896109189587,1775023233.1232135,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0028.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0028_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0028_mask.png
29,0.9090625,0.02,617.1660746003553,405.89964476021316,1,0.0,0.060395518722644814,0.09821585531134264,1775023242.8515704,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0029.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0029_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0029_mask.png
30,0.939375,0.02,617.2177419354839,419.49554367201426,1,0.0,0.065930494604099,0.0825481307781323,1775023252.5766215,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0030.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0030_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0030_mask.png
31,0.9696875,0.02,616.7376325088339,432.6838768115942,1,0.0,0.16498155251650132,0.06840922480475589,1775023262.3099005,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0031.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0031_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0031_mask.png
32,1.0,0.02,616.3768115942029,445.84310189359786,1,0.0,0.045139491837754536,0.08733058237575715,1775023272.0299144,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0032.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0032_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0032_mask.png
33,1.0,0.050625,603.7415329768271,446.1096256684492,1,0.0,0.03755746330879751,0.3319057092791956,1775023282.0806003,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0033.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0033_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0033_mask.png
34,0.9696875,0.050625,603.375226039783,433.0071942446043,1,0.0,0.041700627752665295,0.12539570416853774,1775023291.927485,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0034.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0034_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0034_mask.png
35,0.939375,0.050625,603.5132508833922,420.0105540897098,1,0.0,0.07559614070685024,0.20619787464026684,1775023301.6528525,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0035.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0035_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0035_mask.png
36,0.9090625,0.050625,603.598030438675,406.05249110320284,1,0.0,0.07042498497749713,0.052718208259668074,1775023311.5246553,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0036.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0036_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0036_mask.png
37,0.87875,0.050625,603.5645592163847,393.19946571682993,1,0.0,0.05269455794081131,0.012525332662847671,1775023321.1876047,5,/Users/kimsumin/projects/RGMC/data/map/robot2/images/0037.png,/Users/kimsumin/projects/RGMC/data/map/robot2/overlays/0037_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot2/masks/0037_mask.png
