idx,x,y,ok,reason,timestamp
479,0.5453125,0.44875,0,valid_frames=1<3,1775027725.786759
643,0.515,0.601875,0,valid_frames=1<3,1775029324.9674006
677,0.5453125,0.6325000000000001,0,valid_frames=0<3,1775029657.6302302
809,0.5453125,0.755,0,valid_frames=0<3,1775031004.9914267
874,0.515,0.81625,0,valid_frames=0<3,1775031663.1633518
907,0.515,0.846875,0,valid_frames=0<3,1775031996.3799908
940,0.515,0.8775,0,valid_frames=0<3,1775032335.60226
973,0.515,0.908125,0,valid_frames=0<3,1775032670.3026104
1006,0.515,0.93875,0,valid_frames=0<3,1775033012.4769604
479,0.5453125,0.44875,0,valid_frames=0<3,1775034662.6410449
643,0.515,0.601875,0,valid_frames=2<3,1775034672.6235223
677,0.5453125,0.6325000000000001,0,valid_frames=0<3,1775034682.3747072
874,0.515,0.81625,0,valid_frames=1<3,1775034702.8100452
940,0.515,0.8775,0,valid_frames=0<3,1775034722.9686046
973,0.515,0.908125,0,valid_frames=0<3,1775034733.1407025
479,0.5453125,0.44875,0,valid_frames=0<3,1775040966.6661873
643,0.515,0.601875,0,valid_frames=1<3,1775040976.5882933
677,0.5453125,0.6325000000000001,0,valid_frames=0<3,1775040986.3378243
874,0.515,0.81625,0,valid_frames=1<3,1775040996.2763996
940,0.515,0.8775,0,valid_frames=0<3,1775041006.4932852
973,0.515,0.908125,0,valid_frames=0<3,1775041016.1858377
479,0.5453125,0.44875,0,valid_frames=0<3,1775041992.6807468
677,0.5453125,0.6325000000000001,0,valid_frames=0<3,1775042012.8370335
874,0.515,0.81625,0,valid_frames=2<3,1775042024.414263
940,0.515,0.8775,0,valid_frames=0<3,1775042034.1744254
973,0.515,0.908125,0,valid_frames=0<3,1775042044.1081388
479,0.5453125,0.44875,0,valid_frames=0<3,1775043531.7623394
677,0.5453125,0.6325000000000001,0,valid_frames=0<3,1775043541.670476
874,0.515,0.81625,0,valid_frames=2<3,1775043551.713391
940,0.515,0.8775,0,valid_frames=0<3,1775043562.1975005
973,0.515,0.908125,0,valid_frames=0<3,1775043572.4465072
479,0.5453125,0.44875,0,valid_frames=0<3,1775043582.1078548
677,0.5453125,0.6325000000000001,0,valid_frames=0<3,1775043591.9904697
874,0.515,0.81625,0,valid_frames=2<3,1775043602.6035702
940,0.515,0.8775,0,valid_frames=0<3,1775043612.5125065
973,0.515,0.908125,0,valid_frames=0<3,1775043622.7575934
479,0.5453125,0.44875,0,valid_frames=0<3,1775044798.4482396
677,0.5453125,0.6325000000000001,0,valid_frames=1<3,1775044808.4388337
874,0.515,0.81625,0,valid_frames=0<3,1775044819.958157
940,0.515,0.8775,0,valid_frames=0<3,1775044830.2143757
973,0.515,0.908125,0,valid_frames=0<3,1775044840.4230702
