idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.08,0.0,0.0,568.4200336700337,24.594276094276093,1,0.0,0.02945193269960253,0.05195536281227225,1775616278.862881,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0000.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0000_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0000_mask.png
1,0.10875,0.0,0.0,568.2528925619835,37.32592592592592,1,0.0,0.06161100747271996,0.04952294157741627,1775616289.6096463,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0001.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0001_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0001_mask.png
2,0.1375,0.0,0.0,568.2010178117048,50.032121724429416,1,0.0,0.04079098960987848,0.06542834333507204,1775616299.8161852,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0002.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0002_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0002_mask.png
3,0.16625,0.0,0.0,568.1822070145423,63.80821917808219,1,0.0,0.05029616401965219,0.3233457821075711,1775616309.8580441,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0003.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0003_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0003_mask.png
4,0.195,0.0,0.0,568.2232677502138,76.53082191780823,1,0.0,0.0761607932871972,0.04383355113450433,1775616319.7678273,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0004.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0004_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0004_mask.png
5,0.22375,0.0,0.0,568.1493562231759,89.33619948409286,1,0.0,0.02548433563658828,0.02654354797861072,1775616329.798073,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0005.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0005_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0005_mask.png
6,0.2525,0.0,0.0,568.0815485996706,101.80131904369333,1,0.0,0.029091243263085664,0.0619730622307988,1775616340.012224,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0006.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0006_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0006_mask.png
7,0.28125,0.0,0.0,567.9303350970017,115.30964912280702,1,0.0,0.04776702263816835,0.1149382199872973,1775616349.7693586,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0007.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0007_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0007_mask.png
8,0.31,0.0,0.0,568.0252951096121,128.47627118644067,1,0.0,0.05048444683323734,0.07469422056499482,1775616359.6576192,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0008.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0008_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0008_mask.png
9,0.33875000000000005,0.0,0.0,567.8915763135947,141.20600500417015,1,0.0,0.020545202236313776,0.04166572216081531,1775616369.7068007,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\images\0009.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\overlays\0009_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot27\masks\0009_mask.png
