step,shape_type,execute_ok,num_feasible,attach_fail_count,stop_reason,step_wall_start,step_wall_end_before_next_step,step_total_time_sec,total_time_sec,current_x,current_y,current_theta,pred_x,pred_y,pred_theta,obs_x,obs_y,obs_theta,dx_err,dy_err,dtheta_err,pos_err_norm,pred_along,obs_along,along_err,along_ratio,pred_lateral,obs_lateral,lateral_err,stroke_len,action_type,face_idx,ratio,official_iou_before,official_iou_after,time_eval_before_sec,time_object_pose_sec,time_get_stable_robot_state_sec,time_debug_vis_before_sec,time_generate_candidate_bundle_sec,time_select_best_plan_sec,time_debug_vis_planned_sec,time_execute_push_sec,time_sleep_after_push_sec,time_eval_after_sec,time_get_state_after_sec,time_postprocess_prediction_error_sec,time_profile_total_sec
0,square,True,16,0,,2834.789109464,2860.558590427,25.769480963000206,25.769480963000206,0.3888064818629531,0.31708245248439293,-0.4360048770904541,0.43343586546261326,0.4128723503090844,-0.43600487709045066,0.4598463109770798,0.4384675742151482,-0.5191461443901062,0.02641044551446653,0.02559522390606378,-0.08314126729965554,0.036778079328237685,0.1056763285024156,0.1400307183465141,0.0343543898440985,1.325090683324726,1.3877787807814457e-17,0.013130232957333496,0.013130232957333482,0.13999999999999999,normal,2,0.5,0.0,0.2,3.735199859000204,0.00034342499975537066,3.9282790570000543,0.19276850999995077,2.0720764160000726,0.0004989369999748305,0.21414133100006438,7.8084574869999415,1.0002950870002678,5.347825960999671,1.1966679120000663,0.0003948379999201279,25.76948329600009
1,square,True,16,0,,2860.558672243,2885.129956402,24.571284159000243,24.571284159000243,0.4598463109770798,0.4384675742151482,-0.5191461443901062,0.4893382686938025,0.5433278561914279,-0.4084005303550182,0.5087637180846624,0.5764821865742622,-0.4590393304824829,0.019425449390859884,0.03315433038283433,-0.05063880012746469,0.03842600300800215,0.10892866613573235,0.14610406824426836,0.03717540210853601,1.3412820832875434,1.734723475976807e-17,0.009723537691583553,0.009723537691583536,0.14430869689661813,spin_neg,2,0.7,0.2,0.7,6.882841920999908,0.0007718709998698614,4.193619129000126,0.16016900700014958,0.2801876219996302,0.00031967500035534613,0.17110041599971737,6.604470499999934,1.0001385580003443,4.177566326000033,0.9214874809999856,0.00023772999975335551,24.571286318999682
2,square,True,14,2,official_iou_after,2885.130043247,2905.399181079,20.26913783200007,20.26913783200007,0.508797837628106,0.5753927841333051,-0.44530102610588074,0.49354778572616415,0.5784892410899248,-0.529104284251244,0.49132246706513244,0.5868582944565651,-0.46823474764823914,-0.0022253186610317055,0.008369053366640289,0.06086953660300487,0.008659855506693463,0.01556123801939038,0.019407374073730676,0.003846136054340296,1.2471613151567853,4.142503679062226e-17,0.007758887474909879,0.007758887474909837,0.020615528128088315,spin_neg,3,0.5,0.7,0.8,4.225808740000048,0.0007266309999067744,3.171698314999958,0.1706522889999178,0.602067444000113,0.0003050049999728799,0.16667078599994056,6.790048577000107,1.0001687280000624,3.051532558999952,0.9250334329999532,0.00022933499985811068,20.26913856300007
