x_cmd,y_cmd,x_state,y_state,ts_img,ts_state,dt_state_minus_img,ok,u,v,x_lut,y_lut,dx,dy,err
0.1033,0.1,0.10350000000000006,0.09971428571428571,1775090723.2835486,1775090724.9128487,1.6293001174926758,True,576.1191588785047,70.64174454828661,0.1514312611479616,0.11559393890099907,0.048131261147961596,0.015593938900999069,0.05059435966727289
0.1043,0.3024,0.10435714285714295,0.30207142857142855,1775090728.3014293,1775090729.9339538,1.6325244903564453,True,487.2356589147287,70.9124031007752,0.15003211739192254,0.3136275178769316,0.04573211739192254,0.011227517876931603,0.04709016583985878
0.1,0.5057,0.1,0.5053571428571428,1775090733.3141296,1775090735.1323738,1.818244218826294,True,395.90162601626014,68.0,0.1418348159784464,0.5183338504556726,0.041834815978446405,0.012633850455672557,0.04370086961705422
0.1031,0.7034,0.10321428571428563,0.7028571428571428,1775090738.5456328,1775090740.3784068,1.8327739238739014,True,308.88235294117646,69.96638655462185,0.14588694560249169,0.7160638406021571,0.04278694560249169,0.012663840602157084,0.0446216939703932
0.1,0.8994,0.1000714285714285,0.8989285714285714,1775090743.726123,1775090745.4974766,1.7713534832000732,True,222.54226475279106,67.29346092503987,0.14000713734013545,0.9089821263601546,0.040007137340135446,0.009582126360154652,0.041138645866562386
0.2984,0.1051,0.29850000000000004,0.10507142857142858,1775090748.8924015,1775090750.521443,1.6290414333343506,True,572.6618357487922,157.1892109500805,0.3461757086777941,0.1222528092259732,0.047775708677794126,0.017152809225973203,0.050761572119154115
0.3017,0.3039,0.30178571428571427,0.3035,1775090753.7893512,1775090755.5310683,1.7417171001434326,True,484.5892707460184,157.8206202849958,0.3470891508560686,0.3189749378194166,0.045389150856068594,0.0150749378194166,0.04782707147311269
0.2993,0.4967,0.2992857142857143,0.4962142857142857,1775090758.9207892,1775090760.757501,1.8367116451263428,True,399.7758064516129,157.2306451612903,0.34642319520187614,0.5087751178565888,0.047123195201876134,0.012075117856588824,0.04864569865141863
0.3007,0.6948,0.30078571428571427,0.6945714285714285,1775090764.1527593,1775090765.9814653,1.8287060260772705,True,311.6596899224806,157.54263565891472,0.3457970316455012,0.7077225777069303,0.04509703164550116,0.012922577706930283,0.04691199503140945
0.3039,0.9,0.304,0.8995000000000001,1775090769.3547935,1775090770.996771,1.6419775485992432,True,222.10842368640533,157.8065054211843,0.3455696462341218,0.9106394441573503,0.04166964623412178,0.010639444157350297,0.04300647845678875
0.5031,0.1,0.5030714285714286,0.09992857142857142,1775090774.404004,1775090776.0088377,1.6048336029052734,True,575.432156862745,247.54901960784315,0.5503188248906993,0.11536499512045914,0.047218824890699285,0.015364995120459135,0.04965582039509825
0.5056,0.3047,0.5056428571428572,0.3042142857142857,1775090779.4195929,1775090780.936503,1.5169100761413574,True,485.46185397867106,248.10910582444626,0.5515817846699749,0.31684064275876256,0.04598178466997482,0.012140642758762532,0.04755754123198365
0.5033,0.4963,0.5033571428571428,0.4959285714285715,1775090784.3076968,1775090786.2547324,1.947035551071167,True,400.2020905923345,245.95905923344947,0.5477958649761018,0.5069758036334157,0.04449586497610181,0.010675803633415637,0.045758658013437564
0.4959,0.7022,0.4959285714285715,0.7017142857142856,1775090789.631122,1775090791.268828,1.6377058029174805,True,306.19899062725307,242.9235760634463,0.5392049130295281,0.7190754940707239,0.0433049130295281,0.016875494070723862,0.04647685222372562
0.4956,0.8997,0.49550000000000005,0.8992857142857144,1775090794.6344285,1775090796.4970796,1.8626511096954346,True,221.06051873198848,234.2593659942363,0.5195247156707634,0.9088918309466932,0.02392471567076343,0.00919183094669318,0.0256297049549826
0.6967,0.102,0.6967142857142856,0.10185714285714287,1775090799.7671816,1775090801.3064768,1.5392951965332031,True,574.5023885350319,331.99442675159236,0.7423628530426185,0.11522535005428115,0.04566285304261852,0.01322535005428116,0.047539520738539745
0.6992,0.304,0.6992142857142857,0.30357142857142855,1775090804.667142,1775090806.2231789,1.5560369491577148,True,484.6186440677966,333.59491525423726,0.7447388782472072,0.31572633931352667,0.04553887824720715,0.011726339313526679,0.04702442414012018
0.704,0.5037,0.7039285714285715,0.5032142857142857,1775090809.6075554,1775090811.2386463,1.6310908794403076,True,395.4059071729958,334.7510548523207,0.7472828478776844,0.5158963533893794,0.04328284787768444,0.01219635338937941,0.04496838841232137
0.6986,0.6975,0.6985714285714285,0.6968571428571428,1775090814.5187905,1775090816.4601653,1.9413747787475586,True,310.1512396694215,332.94462809917354,0.7428040201808732,0.7087915646454829,0.044204020180873216,0.011291564645482866,0.045623402243740716
0.7022,0.8957,0.7022142857142857,0.8952857142857144,1775090819.7617786,1775090821.5849102,1.8231315612792969,True,222.54382978723405,334.0817021276596,0.7439056102544701,0.906480556878264,0.04170561025447006,0.010780556878263958,0.043076424332844095
0.8964,0.1,0.8965000000000001,0.09992857142857142,1775090824.9575703,1775090826.6041942,1.6466238498687744,True,575.2939244663382,421.1970443349754,0.9416172732778495,0.11307832666162669,0.04521727327784952,0.013078326661626685,0.04707063236192966
0.9,0.302,0.9,0.30142857142857143,1775090830.081783,1775090831.7282703,1.6464872360229492,True,484.8405916187346,421.987674609696,0.9436373328888318,0.3151115176034161,0.04363733288883176,0.013111517603416112,0.04556455547369478
0.9,0.5034,0.8999285714285714,0.5028571428571429,1775090835.0980947,1775090836.7385607,1.6404659748077393,True,396.1659951651894,421.68009669621273,0.945167382310227,0.5138783905222123,0.04516738231022699,0.010478390522212333,0.04636689651781964
0.8995,0.7008,0.8994285714285715,0.7004285714285714,1775090840.1156807,1775090841.7589808,1.6433000564575195,True,308.2698795180723,421.6562248995984,0.9408304330849164,0.7117131042839578,0.04133043308491646,0.010913104283957864,0.042746936078499206
0.8957,0.8954,0.8957142857142858,0.8949285714285714,1775090845.0600173,1775090846.8736465,1.813629150390625,True,222.47689768976898,419.2887788778878,0.9344549953735221,0.9041103738543447,0.038754995373522005,0.0087103738543447,0.039721785950334154
