api_overhead_sec,approach_length_m,approach_length_norm,approach_path_type,approach_to_start_m,approach_waypoints,candidate_action_type,candidate_face_idx,candidate_ratio,candidate_stroke_len_norm,compute_total_sec,episode,execute_est_sec,iou_after,iou_before,max_waypoints_limit,move_time_sec,move_xy_calls,path_sleep_time,plan_compute_sec,push_move_m,push_sleep_time,push_speed_mps,retreat_move_m,seed,shape_err_after,shape_err_before,shape_type,sleep_time,sleep_time_sec,status,step,step_wall_est_sec,total_move_m,true_case,true_sim_compute_sec
0.0,0.023096614909030536,0.15397743272687026,direct_like,0.0105,2,normal,2,0.5,0.09000000000000001,0.08788309999727062,0,2.953018380589824,0.0,0.0,45,0.5530183805898237,5,0.2,0.08735220000016852,0.013500000000000002,1.0,0.0933,0.004500000000000001,0,0.46150335235947904,0.5265889466409966,WEIGHTED_SQUARE,0.5,2.4,ok,0,3.0409014805870944,0.051596614909030544,CASE_0,4.830000034417026e-05
0.0,0.010190217391304365,0.06793478260869576,direct_like,0.0105,2,normal,2,0.5,0.09000000000000001,0.06853350000164937,0,2.8146861456731442,0.0,0.0,45,0.4146861456731444,5,0.2,0.0678963999998814,0.013500000000000002,1.0,0.0933,0.004499999999999996,0,0.3973510380388815,0.46150335235947904,WEIGHTED_SQUARE,0.5,2.4,ok,1,2.8832196456747936,0.03869021739130437,CASE_0,6.550000034621917e-05
0.0,0.01019021739130436,0.06793478260869573,direct_like,0.0105,2,normal,2,0.5,0.09000000000000001,0.06824979999873904,0,2.8146861456731442,0.0,0.0,45,0.4146861456731443,5,0.2,0.06748180000067805,0.013500000000000005,1.0,0.0933,0.004499999999999997,0,0.3346759256735541,0.3973510380388815,WEIGHTED_SQUARE,0.5,2.4,ok,2,2.8829359456718833,0.03869021739130436,CASE_0,6.790000043110922e-05
0.0,0.01201208268711312,0.0800805512474208,direct_like,0.010499999999999999,2,normal,2,0.7,0.06999999999999999,0.06865319999997155,0,2.8020587640633776,0.0,0.0,45,0.4020587640633775,5,0.2,0.06807799999660347,0.010499999999999999,1.0,0.0933,0.004500000000000002,0,0.27780258109169076,0.3346759256735541,WEIGHTED_SQUARE,0.5,2.4,ok,3,2.870711964063349,0.03751208268711312,CASE_0,5.8400000852998346e-05
0.0,0.015969735685523682,0.10646490457015788,direct_like,0.010499999999999999,2,normal,2,0.7,0.06999999999999999,0.06266410000171163,0,2.8444773385372315,0.002820172528201725,0.0,45,0.4444773385372314,5,0.2,0.06212539999978617,0.010499999999999999,1.0,0.0933,0.004500000000000001,0,0.23416261477648598,0.27780258109169076,WEIGHTED_SQUARE,0.5,2.4,ok,4,2.907141438538943,0.04146973568552369,CASE_0,6.859999848529696e-05
0.0,0.06539328448929412,0.43595522992862745,lshape_or_compressed_astar,0.010500000000000002,3,normal,1,0.5,0.06999999999999999,0.17956689999846276,0,3.5742045497244814,0.07178217821782178,0.002820172528201725,45,0.9742045497244815,6,0.2,0.17895570000109728,0.010499999999999999,1.0,0.0933,0.004499999999999998,0,0.1861779798516492,0.23416261477648598,WEIGHTED_SQUARE,0.5,2.6,ok,5,3.753771449722944,0.09089328448929411,CASE_0,6.019999636919238e-05
0.0,0.007925724637681146,0.05283816425120764,direct_like,0.010499999999999999,2,normal,1,0.5,0.06999999999999999,0.0630048999992141,0,2.7582607142302376,0.1820662768031189,0.07178217821782178,45,0.3582607142302374,5,0.2,0.06238949999897159,0.010499999999999999,1.0,0.0933,0.0045000000000000005,0,0.141637754459013,0.1861779798516492,WEIGHTED_SQUARE,0.5,2.4,ok,6,2.8212656142294517,0.03342572463768115,CASE_0,6.550000034621917e-05
0.0,0.007925724637681162,0.05283816425120775,direct_like,0.010500000000000004,2,normal,1,0.5,0.06999999999999999,0.06493239999690559,0,2.7582607142302376,0.2999567474048443,0.1820662768031189,45,0.3582607142302377,5,0.2,0.06434280000030412,0.010500000000000004,1.0,0.0933,0.004500000000000004,0,0.10489063331411605,0.141637754459013,WEIGHTED_SQUARE,0.5,2.4,ok,7,2.823193114227143,0.033425724637681176,CASE_0,6.159999975352548e-05
0.0,0.06414223249986542,0.4276148833324361,astar_like,0.0105,11,normal,2,0.7,0.06999999999999999,0.21357279999938328,0,5.160795632367261,0.5263558033451596,0.2999567474048443,45,0.9607956323672606,14,0.2,0.21294230000057723,0.010499999999999994,1.0,0.0933,0.004499999999999998,0,0.0647151303610916,0.10489063331411605,WEIGHTED_SQUARE,0.5,4.2,ok,8,5.374368432366644,0.08964223249986542,CASE_0,0.00011549999908311293
0.0,0.05933893705873586,0.39559291372490574,lshape_or_compressed_astar,0.0105,3,normal,1,0.5,0.020000000000000004,0.20437659999879543,0,3.4289275140271798,0.599734395750332,0.5263558033451596,45,0.8289275140271797,6,0.2,0.20385650000025635,0.0029999999999999975,1.0,0.0933,0.004500000000000005,0,0.04969126034662611,0.0647151303610916,WEIGHTED_SQUARE,0.5,2.6,ok,9,3.633304114025975,0.07733893705873586,CASE_0,4.949999856762588e-05
