idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.0,0.0,0.0,597.1485849056604,29.04470588235294,1,0.0,0.030520566801788586,0.02650404095239877,1778510572.145387,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0000.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0000_mask.png
1,0.029375,0.0,0.0,597.2673501577287,42.2498023715415,1,0.0,0.049511096524589314,0.24575495112656925,1778510582.4138927,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0001.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0001_mask.png
2,0.05875,0.0,0.0,597.3267090620031,56.48022151898734,1,0.0,0.38925519643508116,0.3217284585015958,1778510593.0149956,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0002.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0002_mask.png
3,0.088125,0.0,0.0,597.3057119871279,69.0592,1,0.0,0.03935629003032795,0.04529850118005073,1778510603.0610015,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0003.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0003_mask.png
4,0.1175,0.0,0.0,597.309748427673,82.36771653543308,1,0.0,0.03284514756303184,0.021474771585522513,1778510612.889923,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0004.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0004_mask.png
5,0.14687499999999998,0.0,0.0,597.4169303797469,96.54258675078864,1,0.0,0.03226695645948882,0.07444984894544553,1778510622.5194626,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0005.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0005_mask.png
6,0.17625,0.0,0.0,597.2627795527156,109.3613782051282,1,0.0,0.08298703034051275,0.03488567421029951,1778510632.5608058,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0006.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0006_mask.png
7,0.205625,0.0,0.0,597.1398763523956,122.98532818532819,1,0.0,0.026167503142651143,0.35213047989199897,1778510643.080154,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0007.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0007_mask.png
8,0.235,0.0,0.0,597.3169781931464,136.7704918032787,1,0.0,0.06107952163365398,0.03309913338829719,1778510653.7238746,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0008.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0008_mask.png
9,0.26437499999999997,0.0,0.0,597.3427895981088,149.64088397790056,1,0.0,0.0628073617331321,0.04907741024722662,1778510663.7694666,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0009.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0009_mask.png
10,0.29374999999999996,0.0,0.0,597.2817014446227,164.07784911717496,1,0.0,0.032249958263094694,0.03610613777822279,1778510673.707086,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0010.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0010_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0010_mask.png
11,0.323125,0.0,0.0,597.246875,176.996875,1,0.0,0.02250745157916413,0.04297894646521311,1778510683.8560069,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0011.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0011_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0011_mask.png
12,0.3525,0.0,0.0,597.3402298850575,190.18735543562067,1,0.0,0.03508150874798669,0.020804561540963783,1778510693.7715993,5,/Users/kimsumin/projects/RGMC/data/map/robot11/images/0012.png,/Users/kimsumin/projects/RGMC/data/map/robot11/overlays/0012_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot11/masks/0012_mask.png
