idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.0,0.0,572.3603925066905,37.72241992882562,1,0.0,0.0342345947056722,0.0470841134831225,1774670657.781989,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0000.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0000_mask.png
1,0.0296875,0.0,573.4647636039251,51.16741674167417,1,0.0,0.3355609417761489,0.0615434651968057,1774670667.9887123,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0001.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0001_mask.png
2,0.059375,0.0,574.480965645311,63.25812441968431,1,0.0,0.0750771547386547,0.0629080088475578,1774670680.0788698,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0002.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0002_mask.png
3,0.0890624999999999,0.0,574.716577540107,76.40730837789661,1,0.0,0.0353565539088773,0.0398585202355702,1774670690.3168428,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0003.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0003_mask.png
4,0.11875,0.0,575.2924865831843,89.13864042933811,1,0.0,0.0608105918946879,0.0410414628256734,1774670700.604237,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0004.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0004_mask.png
5,0.1484375,0.0,575.248872858431,102.78629395852118,1,0.0,0.0246635986461714,0.2835028323929499,1774670710.918246,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0005.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0005_mask.png
6,0.1781249999999999,0.0,575.3830935251799,115.38129496402878,1,0.0,0.0548266627379156,0.0554383262276906,1774670721.144704,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0006.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0006_mask.png
7,0.2078124999999999,0.0,575.5511463844797,128.21252204585537,1,0.0,0.0445766726822796,0.0691463845832685,1774670731.5057356,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0007.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0007_mask.png
8,0.2375,0.0,575.4706896551725,141.25665236051503,1,0.0,0.0581132419160521,0.081133608343038,1774670743.087446,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0008.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0008_mask.png
9,0.2671874999999999,0.0,575.6902417188899,154.95340501792114,1,0.0,0.0516492144081551,0.0299332678667374,1774670753.1198366,5,/Users/kimsumin/projects/RGMC/calibration_data/robot06/images/0009.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/calbration_data/robor06/masks/0009_mask.png
