idx,x,y,ok,reason,timestamp
377,0.556875,0.3503125,0,valid_frames=0<3,1775100548.252795
410,0.433125,0.38125,0,valid_frames=0<3,1775100846.3030462
476,0.433125,0.443125,0,valid_frames=0<3,1775101445.07647
480,0.556875,0.443125,0,valid_frames=0<3,1775101480.311818
483,0.6496875,0.443125,0,valid_frames=0<3,1775101507.4454103
510,0.5259375,0.4740625,0,valid_frames=0<3,1775101750.4228053
377,0.556875,0.3503125,0,valid_frames=2<3,1775104073.7745454
480,0.556875,0.443125,0,valid_frames=1<3,1775104109.4252381
483,0.6496875,0.443125,0,valid_frames=0<3,1775104120.4254096
510,0.5259375,0.4740625,0,valid_frames=0<3,1775104131.7154596
875,0.5259375,0.814375,0,valid_frames=0<3,1775106185.4334671
902,0.6496875,0.8453125,0,valid_frames=2<3,1775106484.8427343
905,0.556875,0.8453125,0,valid_frames=0<3,1775106520.2637324
906,0.5259375,0.8453125,0,valid_frames=2<3,1775106531.9787455
938,0.433125,0.87625,0,valid_frames=0<3,1775106931.392765
941,0.5259375,0.87625,0,valid_frames=0<3,1775106967.6695328
942,0.556875,0.87625,0,valid_frames=0<3,1775106978.9514818
971,0.556875,0.9071875,0,valid_frames=0<3,1775107328.5178316
972,0.5259375,0.9071875,0,valid_frames=0<3,1775107340.10132
975,0.433125,0.9071875,0,valid_frames=0<3,1775107375.7662406
1004,0.433125,0.938125,0,valid_frames=0<3,1775107716.0171854
1007,0.5259375,0.938125,0,valid_frames=0<3,1775107754.0942113
480,0.556875,0.443125,0,valid_frames=0<3,1775108041.0621312
483,0.6496875,0.443125,0,valid_frames=0<3,1775108052.117137
480,0.556875,0.443125,0,valid_frames=0<3,1775108976.0708969
483,0.6496875,0.443125,0,valid_frames=0<3,1775108987.0652494
510,0.5259375,0.4740625,0,valid_frames=0<3,1775108997.5723054
905,0.556875,0.8453125,0,valid_frames=1<3,1775109033.7864492
906,0.5259375,0.8453125,0,valid_frames=2<3,1775109045.291561
938,0.433125,0.87625,0,valid_frames=0<3,1775109056.4575317
941,0.5259375,0.87625,0,valid_frames=0<3,1775109172.49744
942,0.556875,0.87625,0,valid_frames=0<3,1775109185.596666
971,0.556875,0.9071875,0,valid_frames=0<3,1775109197.6943429
972,0.5259375,0.9071875,0,valid_frames=0<3,1775109208.938782
975,0.433125,0.9071875,0,valid_frames=0<3,1775109220.5202417
1004,0.433125,0.938125,0,valid_frames=0<3,1775109232.0573602
1007,0.5259375,0.938125,0,valid_frames=1<3,1775109243.8353379
1038,0.5259375,0.9690625,0,valid_frames=0<3,1775109526.7652612
1040,0.4640625,0.9690625,0,valid_frames=2<3,1775109551.2569711
1041,0.433125,0.9690625,0,valid_frames=0<3,1775109562.7517211
1042,0.4021875,0.9690625,0,valid_frames=0<3,1775109574.9208567
1044,0.3403125,0.9690625,0,valid_frames=1<3,1775109599.2844303
1069,0.4021875,1.0,0,valid_frames=2<3,1775109899.3168812
1070,0.433125,1.0,0,valid_frames=0<3,1775109911.2353733
480,0.556875,0.443125,0,valid_frames=0<3,1775110169.9590006
483,0.6496875,0.443125,0,valid_frames=0<3,1775110182.3738966
510,0.5259375,0.4740625,0,valid_frames=0<3,1775110193.1380389
938,0.433125,0.87625,0,valid_frames=0<3,1775110229.7603962
941,0.5259375,0.87625,0,valid_frames=0<3,1775110241.5417962
942,0.556875,0.87625,0,valid_frames=0<3,1775110253.4310074
971,0.556875,0.9071875,0,valid_frames=0<3,1775110264.9792428
972,0.5259375,0.9071875,0,valid_frames=0<3,1775110277.2730322
975,0.433125,0.9071875,0,valid_frames=0<3,1775110291.2016597
1004,0.433125,0.938125,0,valid_frames=0<3,1775110303.718073
1007,0.5259375,0.938125,0,valid_frames=0<3,1775110319.785741
1038,0.5259375,0.9690625,0,valid_frames=0<3,1775110333.0058768
1041,0.433125,0.9690625,0,valid_frames=0<3,1775110357.3687282
1042,0.4021875,0.9690625,0,valid_frames=1<3,1775110369.6007333
1044,0.3403125,0.9690625,0,valid_frames=2<3,1775110382.0805156
1070,0.433125,1.0,0,valid_frames=0<3,1775110409.8765345
480,0.556875,0.443125,0,valid_frames=0<3,1775116145.459896
483,0.6496875,0.443125,0,valid_frames=0<3,1775116154.3167994
510,0.5259375,0.4740625,0,valid_frames=0<3,1775116163.3408644
938,0.433125,0.87625,0,valid_frames=0<3,1775116172.9550977
941,0.5259375,0.87625,0,valid_frames=0<3,1775116182.67694
942,0.556875,0.87625,0,valid_frames=0<3,1775116192.3056188
971,0.556875,0.9071875,0,valid_frames=0<3,1775116202.1223264
972,0.5259375,0.9071875,0,valid_frames=0<3,1775116211.7795658
975,0.433125,0.9071875,0,valid_frames=0<3,1775116221.5257726
