idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
14,0.433125,0.01,616.0348484848485,216.3461835003855,1,0.0,0.14086577431365552,0.05815096023202913,1775093714.591744,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0014.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0014_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0014_mask.png
15,0.4640625,0.01,615.8034727703237,230.62509865824782,1,0.0,0.033132979963187835,0.08567745913320064,1775093723.2986827,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0015.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0015_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0015_mask.png
16,0.495,0.01,615.8037676609105,243.92146189735615,1,0.0,0.024913770977681167,0.07957187827534415,1775093732.5108664,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0016.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0016_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0016_mask.png
17,0.5259375,0.01,615.4886630179828,257.6679841897233,1,0.0,0.0633418051827025,0.05073679903503574,1775093741.2199476,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0017.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0017_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0017_mask.png
18,0.556875,0.01,615.651632970451,271.49144634525663,1,0.0,0.06486610698787658,0.06102331134771053,1775093749.949991,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0018.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0018_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0018_mask.png
19,0.5878125,0.01,615.7285945072698,285.0880452342488,1,0.0,0.02162159879111548,0.03436350414971553,1775093758.8545852,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0019.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0019_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0019_mask.png
20,0.61875,0.01,615.4051724137931,298.641065830721,1,0.0,0.060216891385457265,1.028534625470519,1775093767.6631098,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0020.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0020_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0020_mask.png
21,0.6496875,0.01,615.6969218626678,311.9976396538159,1,0.0,0.1090913352782985,0.061251275350841794,1775093776.7700589,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0021.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0021_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0021_mask.png
22,0.680625,0.01,615.7627388535032,325.65210484511516,1,0.0,0.014137752743501347,0.03510331090756857,1775093785.5069785,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0022.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0022_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0022_mask.png
23,0.7115625,0.01,615.496530454896,339.1549730146492,1,0.0,0.03240508725977807,0.04802095842149948,1775093794.3392956,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0023.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0023_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0023_mask.png
24,0.7424999999999999,0.01,615.6230954290297,353.30793905372894,1,0.0,0.020527366915686678,0.03919119940021954,1775093802.9815328,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0024.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0024_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0024_mask.png
