idx,x,y,z,ok,reason,timestamp
575,0.5287499999999999,0.53125,0.0,0,valid_frames=0<3,1776433685.1141243
612,0.5287499999999999,0.5625,0.0,0,valid_frames=1<3,1776434129.0226638
973,0.47,0.90625,0.0,0,valid_frames=0<3,1776438592.163231
1072,0.47,1.0,0.0,0,valid_frames=0<3,1776439805.005396
575,0.5287499999999999,0.53125,0.0,0,valid_frames=0<3,1776440180.9495184
612,0.5287499999999999,0.5625,0.0,0,valid_frames=0<3,1776440193.1287766
973,0.47,0.90625,0.0,0,valid_frames=0<3,1776440205.1758447
1072,0.47,1.0,0.0,0,valid_frames=0<3,1776440216.965697
