idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
17,0.49937499999999996,0.0,0.0,580.5541299117883,255.7783417935702,1,0.0,0.06854453871368595,0.37902091316099296,1776422211.1967578,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0017.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0017_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0017_mask.png
18,0.5287499999999999,0.0,0.0,579.8144416456759,268.8554817275747,1,0.0,0.2054929544233435,0.09233896824247201,1776422222.7307367,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0018.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0018_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0018_mask.png
19,0.558125,0.0,0.0,579.798347107438,284.72282157676347,1,0.0,0.1340824698294152,0.07538159547147973,1776422234.6101918,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0019.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0019_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0019_mask.png
20,0.5874999999999999,0.0,0.0,582.8149705634987,297.8426311407161,1,0.0,0.37175228352311707,0.04152571532009272,1776422246.18887,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0020.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0020_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0020_mask.png
21,0.616875,0.0,0.0,584.9126602564103,311.22132471728594,1,0.0,0.0648856640982695,0.06296366589399566,1776422257.6478305,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0021.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0021_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0021_mask.png
22,0.64625,0.0,0.0,583.8088113050707,324.4081463009144,1,0.0,0.034687293480587085,0.0474411003918128,1776422269.0272262,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0022.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0022_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0022_mask.png
23,0.6756249999999999,0.0,0.0,584.9196787148594,338.5195020746888,1,0.0,0.36366700398046187,0.02597687556823125,1776422280.797415,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0023.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0023_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0023_mask.png
24,0.705,0.0,0.0,585.3006430868168,353.0144694533762,1,0.0,0.0631399568225901,0.038859126048783624,1776422292.5670252,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0024.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0024_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0024_mask.png
25,0.734375,0.0,0.0,584.9344909234412,365.2535545023697,1,0.0,0.3990579391669509,0.08846917681936028,1776422304.136095,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0025.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0025_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0025_mask.png
26,0.7637499999999999,0.0,0.0,585.6492595479345,379.8394388152767,1,0.0,0.0878073115719245,0.06356245430265373,1776422315.7039633,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0026.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0026_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0026_mask.png
