idx,x,y,z,ok,reason,timestamp
972,0.48875,0.90625,,0,valid_frames=0<3,1777485680.7118006
1038,0.48875,0.96875,,0,valid_frames=0<3,1777486321.9039521
1073,0.48875,1.0,,0,valid_frames=0<3,1777486673.1036773
