idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.0,0.0,537.9241748438894,27.398751115075825,1,0.0,0.3256185180140941,0.06915713648660367,1774418022.3683662,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0000.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0000_mask.png
1,0.03125,0.0,539.0055147058823,40.78033088235294,1,0.0,0.09507604750527342,0.12229158698086563,1774418032.556447,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0001.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0001_mask.png
2,0.0625,0.0,539.6720575022462,53.86726457399103,1,0.0,0.06821347266432641,0.023814222688416358,1774418042.4655912,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0002.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0002_mask.png
3,0.09375,0.0,540.0974264705883,68.17108874656907,1,0.0,0.07173046004093622,0.03598539313124283,1774418052.3386197,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0003.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0003_mask.png
4,0.125,0.0,540.6935779816514,81.2579185520362,1,0.0,0.08095026426549722,0.07999097189254499,1774418062.3416324,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0004.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0004_mask.png
5,0.15625,0.0,541.3444244604317,94.27093132643462,1,0.0,0.4120555574068036,0.2689373618437404,1774418072.053708,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0005.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0005_mask.png
6,0.1875,0.0,542.3487511563367,108.43171402383135,1,0.0,0.3260715393758612,0.0567708064227188,1774418082.2807672,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0006.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0006_mask.png
7,0.21875,0.0,542.9577981651377,121.41284403669725,1,0.0,0.06255835356708808,0.06488703014728252,1774418092.3227997,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0007.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0007_mask.png
8,0.25,0.0,543.3729433272395,135.2958904109589,1,0.0,0.03270685694272455,0.018579656228780023,1774418102.0083861,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0008.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0008_mask.png
9,0.28125,0.0,543.5465838509317,148.61081560283688,1,0.0,0.04636539017481377,0.04797146650601937,1774418111.973403,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0009.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0009_mask.png
10,0.3125,0.0,544.1577981651376,162.69870609981515,1,0.0,0.058538181930767944,0.3474770143095137,1774418122.0049846,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0010.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0010_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0010_mask.png
11,0.34375,0.0,544.876334519573,175.67601809954752,1,0.0,0.021488692247683065,0.11402216763847928,1774418131.8335845,5,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/images/0011.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/overlays/0011_overlay.png,/Users/kimsumin/projects/RGMC/calibration_data_robot31_33x33/masks/0011_mask.png
