idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.02,0.0,0.0,588.4777070063694,29.421178343949045,1,0.0,0.05548702072034171,0.04602122210822436,1777949627.1903398,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0000.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0000_mask.png
1,0.049375,0.0,0.0,587.9243986254296,42.227495908346974,1,0.0,0.23660701117782346,0.2901350771473863,1777949638.1329658,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0001.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0001_mask.png
2,0.07875,0.0,0.0,587.6689075630252,56.31680672268907,1,0.0,0.041004198311275934,0.07067694241913293,1777949648.8919964,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0002.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0002_mask.png
3,0.108125,0.0,0.0,587.9797406807131,69.79407051282051,1,0.0,0.0475466467685045,0.0627857012034055,1777949660.5685642,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0003.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0003_mask.png
4,0.13749999999999998,0.0,0.0,586.8392999204455,82.65470494417863,1,0.0,0.3096664274563226,0.14058489675915165,1777949672.3450983,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0004.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0004_mask.png
5,0.16687499999999997,0.0,0.0,587.2204526404023,96.72841575859178,1,0.0,0.027837396270657715,0.04305383224346884,1777949683.1900282,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0005.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0005_mask.png
6,0.19624999999999998,0.0,0.0,586.4173228346457,109.72677165354331,1,0.0,0.44306089805503684,0.026641715209452875,1777949695.1880395,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0006.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0006_mask.png
7,0.225625,0.0,0.0,586.0780082987552,123.47531380753138,1,0.0,0.039804753081544214,0.2716260495763102,1777949705.8991992,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0007.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0007_mask.png
8,0.255,0.0,0.0,585.8375304630382,136.48976248976248,1,0.0,0.04320880814902935,0.018080594547558646,1777949718.0106444,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0008.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0008_mask.png
9,0.284375,0.0,0.0,585.7321711568939,149.6288906624102,1,0.0,0.03145407375009872,0.04129865936810681,1777949729.0916765,5,/Users/kimsumin/projects/RGMC/data/map/robot14/images/0009.png,/Users/kimsumin/projects/RGMC/data/map/robot14/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot14/masks/0009_mask.png
