idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.09,0.0,,592.5181975736568,19.569324090121317,1,0.0,0.054163605129210486,0.0690352184442166,1775657700.5147161,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0000.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0000_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0000_mask.png
1,0.1184375,0.0,,592.4166666666666,32.804898648648646,1,0.0,0.17276220571130146,0.15732453847835678,1775657710.2351303,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0001.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0001_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0001_mask.png
2,0.146875,0.0,,591.7872881355933,45.43195266272189,1,0.0,0.12064534182073024,0.08325359193918418,1775657720.1723816,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0002.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0002_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0002_mask.png
3,0.17531249999999998,0.0,,591.3271767810027,59.43535620052771,1,0.0,0.07660812434554659,0.17517442750167236,1775657730.395091,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0003.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0003_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0003_mask.png
4,0.20375,0.0,,591.3549517966696,71.7263986013986,1,0.0,0.03164412652058157,0.06592492509117862,1775657740.3790424,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0004.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0004_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0004_mask.png
5,0.2321875,0.0,,591.0560420315236,84.80611353711791,1,0.0,0.33234637165441794,0.10916663366365213,1775657750.4181123,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0005.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0005_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0005_mask.png
6,0.260625,0.0,,589.7993393889348,97.88621262458472,1,0.0,0.06816853374877904,0.036050284730237706,1775657760.3019598,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0006.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0006_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0006_mask.png
7,0.2890625,0.0,,589.7730736663844,110.14665523156089,1,0.0,0.09856491726494175,0.07651471753007578,1775657770.1867058,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0007.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0007_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0007_mask.png
8,0.3175,0.0,,589.1668122270743,123.37719298245614,1,0.0,0.05251470725039128,0.05435761959064241,1775657780.0533638,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0008.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0008_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0008_mask.png
9,0.3459375,0.0,,588.2848214285714,136.075,1,0.0,0.21697453918740608,0.09643252841777869,1775657790.0863554,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\images\0009.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\overlays\0009_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot10\masks\0009_mask.png
