idx,x,y,frame,prev_failed_reason,det_ok,center_u,center_v,mask_exists,mask_area_px,reason_guess,img_ts,error
907,0.515,0.846875,4,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042845.7594647,
907,0.515,0.846875,5,valid_frames=0<3,True,249.08667287977633,232.12301957129543,True,1073.0,detected,1775042847.5033944,
907,0.515,0.846875,6,valid_frames=0<3,True,249.16422018348624,232.22201834862386,True,1090.0,detected,1775042849.4110794,
907,0.515,0.846875,7,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042851.1828256,
907,0.515,0.846875,8,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042853.3436975,
907,0.515,0.846875,9,valid_frames=0<3,True,249.25977653631284,231.97113594040968,True,1074.0,detected,1775042855.1416624,
940,0.515,0.8775,0,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042858.8022118,
940,0.515,0.8775,1,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042860.6121447,
940,0.515,0.8775,2,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042862.458834,
940,0.515,0.8775,3,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042864.3247974,
940,0.515,0.8775,4,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042866.1253717,
940,0.515,0.8775,5,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042867.95808,
940,0.515,0.8775,6,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042869.7969341,
940,0.515,0.8775,7,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042871.642003,
940,0.515,0.8775,8,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042873.4705691,
940,0.515,0.8775,9,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042875.3464704,
973,0.515,0.908125,0,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042879.0435848,
973,0.515,0.908125,1,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042880.804531,
973,0.515,0.908125,2,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042882.635749,
973,0.515,0.908125,3,valid_frames=0<3,False,,,False,,mask_missing_or_detection_failed,1775042884.4917665,
