idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.08,0.0,0.0,584.7924957362137,68.9847801578354,1,0.0,0.0382473464054331,0.0641881864962824,1775900359.4785829,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0000.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0000_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0000_mask.png
1,0.10875,0.0,0.0,584.723366686286,82.19835197174808,1,0.0,0.0439507427924921,0.0591865247646802,1775900372.2734616,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0001.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0001_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0001_mask.png
2,0.1375,0.0,0.0,584.566765578635,94.83442136498516,1,0.0,0.0279704234759359,0.0264615553077678,1775900384.9722102,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0002.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0002_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0002_mask.png
3,0.16625,0.0,0.0,584.2890484739677,107.4877024595081,1,0.0,0.0493763527995335,0.0162532861193379,1775900397.690398,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0003.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0003_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0003_mask.png
4,0.195,0.0,0.0,582.472027972028,119.86938775510204,1,0.0,0.0046228562868482,0.0127182979077263,1775900410.7730086,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0004.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0004_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0004_mask.png
5,0.22375,0.0,0.0,582.3298671288272,132.42641946697566,1,0.0,0.030482437356701,0.4078465042345776,1775900423.7868223,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0005.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0005_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0005_mask.png
6,0.2525,0.0,0.0,582.1853396901073,145.83949880668257,1,0.0,0.0191711563259679,0.0782079297566121,1775900436.7339206,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0006.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0006_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0006_mask.png
7,0.28125,0.0,0.0,581.9688235294118,158.4537963507946,1,0.0,0.0096521128003834,0.0375107931659894,1775900449.5869477,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0007.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0007_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0007_mask.png
8,0.31,0.0,0.0,581.579953650058,171.15179606025492,1,0.0,0.0167514218689503,0.0598012972758845,1775900462.594093,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0008.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0008_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0008_mask.png
9,0.33875,0.0,0.0,581.5301418439716,183.5493537015276,1,0.0,0.014063106896329,0.0335633395726235,1775900474.7819648,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\images\0009.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\overlays\0009_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot25\masks\0009_mask.png
