idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.02,0.0,0.0,594.2927094668117,29.604803493449783,1,0.0,0.028946968678038844,0.044579054868549926,1779116785.3889327,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0000.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0000_mask.png
1,0.049687499999999996,0.0,0.0,594.4137931034483,41.96713362068966,1,0.0,0.044544360119336296,0.04323468486104253,1779116797.3821774,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0001.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0001_mask.png
2,0.079375,0.0,0.0,594.2969696969697,55.651598676957,1,0.0,0.02418311961123258,0.08849476255628493,1779116809.1438408,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0002.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0002_mask.png
3,0.10906249999999999,0.0,0.0,594.3805601317957,68.87808896210873,1,0.0,0.264658927590675,0.044007550956163405,1779116821.0915513,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0003.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0003_mask.png
4,0.13874999999999998,0.0,0.0,594.3761618370694,81.90698954320308,1,0.0,0.031211846365187368,0.05442840586446783,1779116832.7048156,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0004.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0004_mask.png
5,0.1684375,0.0,0.0,594.2167405764967,95.58086177951874,1,0.0,0.01607622685746167,0.19715237174021,1779116844.8847778,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0005.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0005_mask.png
6,0.19812499999999997,0.0,0.0,594.1088948787062,108.59140369967356,1,0.0,0.03477024840159389,0.061728012288662246,1779116856.760723,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0006.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0006_mask.png
7,0.22781249999999997,0.0,0.0,594.1486486486486,121.41739130434783,1,0.0,0.04355054560619061,0.07689349333954391,1779116869.0521603,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0007.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0007_mask.png
8,0.2575,0.0,0.0,594.0788590604027,135.3221288515406,1,0.0,0.056950647762512935,0.10322602439335371,1779116881.337839,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0008.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0008_mask.png
9,0.2871875,0.0,0.0,593.9562084257207,148.45867542419268,1,0.0,0.05147569757456471,0.08935583812988694,1779116893.5229406,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0009.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0009_mask.png
10,0.316875,0.0,0.0,593.9116052060738,161.42213781877373,1,0.0,0.024298570043988027,0.09523635227286009,1779116906.0098598,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0010.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0010_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0010_mask.png
11,0.3465625,0.0,0.0,593.8322259136213,175.01500833796553,1,0.0,0.07682637327700405,0.1202521457649499,1779116918.510191,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0011.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0011_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0011_mask.png
12,0.37625,0.0,0.0,593.690514905149,188.43633369923162,1,0.0,0.43673626985336095,0.2360567227072066,1779116930.9967325,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0012.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0012_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0012_mask.png
13,0.4059375,0.0,0.0,593.7517577068686,201.3479200432199,1,0.0,0.02827158017674289,0.013192355016203772,1779116943.1834345,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0013.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0013_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0013_mask.png
14,0.435625,0.0,0.0,593.5253583241455,214.34454244762955,1,0.0,0.04788180195711516,0.09675458471146323,1779116955.1696773,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0014.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0014_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0014_mask.png
15,0.4653125,0.0,0.0,593.5494938132733,227.9392575928009,1,0.0,0.04332787860342545,0.16991928663767478,1779116967.14945,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0015.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0015_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0015_mask.png
16,0.495,0.0,0.0,592.4308510638298,240.82021276595745,1,0.0,0.06588616182453604,0.11409351956278936,1779116979.3349442,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0016.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0016_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0016_mask.png
17,0.5246875,0.0,0.0,593.2137276785714,254.9036954087346,1,0.0,0.06454825489462333,0.3173372168513252,1779116991.5247364,5,/Users/kimsumin/projects/RGMC/data/map/robot8/images/0017.png,/Users/kimsumin/projects/RGMC/data/map/robot8/overlays/0017_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot8/masks/0017_mask.png
